Experiment,accuracy,precision,recall,f1,auc_roc,Features
A. FRED-MD only (baseline),0.5266015200868621,0.489247311827957,0.6438679245283019,0.5560081466395111,0.5375650127178164,32
B. FRED-MD + Alt Data,0.4592833876221498,0.4583333333333333,0.9599056603773585,0.6204268292682927,0.508423180592992,80
C. Alt Data only (no FRED),0.5244299674267101,0.4880952380952381,0.6768867924528302,0.567193675889328,0.5500028472723132,49
