Experiment,accuracy,precision,recall,f1,auc_roc,Features
A. FRED-MD only (baseline),0.5255157437567861,0.4883720930232558,0.6438679245283019,0.555442522889115,0.5379351581185224,32
B. FRED-MD + Alt Data,0.4775641025641026,0.4611764705882353,0.9267139479905437,0.6158680282796544,0.5094493523011626,80
C. Alt Data only (no FRED),0.47649572649572647,0.45929526123936815,0.8936170212765957,0.6067415730337079,0.5331453140337052,49
