Experiment,accuracy,precision,recall,f1,auc_roc,Features
A. FRED-MD only (baseline),0.4549402823018458,0.45422535211267606,0.9127358490566038,0.6065830721003135,0.4831678751755818,32
B. FRED-MD + Alt Data,0.49893162393162394,0.47160493827160493,0.9030732860520094,0.6196269261962692,0.5445739381287471,80
C. Alt Data only (no FRED),0.49572649572649574,0.46878980891719746,0.8699763593380615,0.609271523178808,0.5407075608643358,49
