group,ARX,BiGRU,BiRNN+Attn,BiRNN+Skip
A,0.0012820512820512775,0.013345460845460844,0.011050886050886,-0.0008897633897633206
B,0.0,0.0001428076428076075,0.0021938421938422215,0.006672854172854237
C,0.008127908127908201,0.011460993960993981,-0.002139392139392071,0.004266656766656718
