config,ARX,BiGRU,BiRNN+Attn,BiRNN+Skip
baseline,0.5168101652383571,0.5100564515852747,0.5240681509068595,0.5288406171013965
+A,0.5185979788535171,0.5280219492070135,0.5288445701090951,0.5272106602603345
+B,0.5168096381706639,0.5108760418481206,0.5233465952349391,0.5194841114126231
+C,0.5200033677581248,0.5211024042818335,0.522637018354813,0.52871093480254
+AB,0.5185979788535171,0.5304425075877983,0.5273436130859313,0.5284890629500664
+AC,0.5259338623298724,0.5328859721719066,0.5318824174341508,0.544704864338841
+BC,0.5200007117974585,0.535902612296673,0.5211079817992328,0.5197019162225015
+ABC,0.5259333311377392,0.5344865868674431,0.5352845702496285,0.535125478205718
