config,ARX,BiGRU,BiRNN+Attn,BiRNN+Skip
baseline,0.5038461538461538,0.49256410256410255,0.5087179487179487,0.5010256410256411
+A,0.5064102564102564,0.5182051282051282,0.5194871794871795,0.498974358974359
+B,0.5038461538461538,0.4905128205128205,0.5074358974358975,0.5148717948717949
+C,0.5132561132561133,0.5003861003861004,0.5003861003861004,0.5055341055341055
+AB,0.5064102564102564,0.5056410256410256,0.5146153846153846,0.5053846153846154
+AC,0.5132561132561133,0.5184041184041184,0.512998712998713,0.5099099099099099
+BC,0.5132561132561133,0.5196911196911197,0.5073359073359074,0.5091377091377092
+ABC,0.5132561132561133,0.5142857142857142,0.520978120978121,0.5127413127413127
