DATE,IPFUELS,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CPIULFSL
1959-01-01,,,,,,,,,,,,
1959-02-01,-0.013714909228706329,,,,,,,,,,,
1959-03-01,0.0250006157801681,-0.003016593539425738,-0.00299850299625648,-0.0032626456348161526,0.009528880596038292,-0.010050335853501569,0.012232568435634139,-0.0006902500583763072,0.002234637801416195,0.0033725286637644736,-2.2250158533410058e-05,0.0
1959-04-01,-0.004499583521612394,0.0,0.00599700599251296,0.0,0.0031494821342681334,0.010050335853501569,-0.018330148303752125,0.0013801433164921662,0.002234637801416195,-0.0034070025067394205,-0.004705891037412702,0.0034542348680877133
1959-05-01,-0.019351642142239722,0.0030075210639548544,-0.00599700599251296,0.006493529310548141,-0.012658270103295344,0.0,0.012195159736235972,0.0017231279527818444,-4.982474147041671e-06,-0.003372684478639254,0.004683849312426158,-1.1890677114934078e-05
1959-06-01,0.0,-0.006015042127909709,0.00599700599251296,-0.006493529310548141,-4.031323383202334e-05,0.0,-0.003062676172963741,0.0003393147368777605,-4.960305158174805e-06,0.0033613477027047978,-2.1836206614889164e-05,-1.1809094183856672e-05
1959-07-01,-0.023254592561449794,-9.072475470883745e-06,-0.00599700599251296,-0.003241493924170502,-0.0032614447754815146,0.0,-0.012167387258426476,-0.0010344127619674737,-4.938283797883969e-06,-1.1260817422975578e-05,-0.004662013105811269,-0.0034305350967889225
1959-08-01,0.016335408219916303,-9.12737711145084e-06,-0.0030256116071241124,0.003241493924170502,-9.365683103368383e-05,0.0,-8.417154165218932e-05,-0.00034452474083090934,-4.916408760102797e-06,-0.003350086885281822,0.0046403795565024275,0.0034188067487859186
1959-09-01,-0.006967393213229034,0.01507405943271145,0.021016899189521876,0.0,0.016218079202543034,0.0,0.024530890077966827,0.0013674002850874167,-4.894678750311243e-06,0.0033389012655149486,-2.1433700208017825e-05,-0.0034188067487859186
1959-10-01,-0.005846952960826268,-0.021070956115811335,-0.02696897563285683,0.0,-0.012987058621096281,0.0,-0.006237016821925234,0.001016942013014166,-0.0022099456508026805,-1.111117284047225e-05,-0.00461894585629441,0.003407158321614201
1959-11-01,0.03795782371576495,0.005996896683099884,0.008959597507289807,0.003241493924170502,-4.244166923728088e-05,0.0,0.011787920312844147,-0.0034129725962399604,0.0,-0.0033277900926744763,0.004597709248629567,-0.003407158321614201
1959-12-01,-0.013636988729871291,0.003025720916537189,0.003016593539425738,-0.003241493924170502,-4.300011825719707e-05,0.0,-0.02678231549204968,0.0020422062917981876,0.0,0.0,-0.004597709248629567,0.003395589001138344
1960-01-01,-0.01266386396735264,0.003025720916537189,0.003016593539425738,-0.003241493924170502,0.00987386699489523,0.0,0.020644983738332012,-0.003403213647172887,0.0,-0.0033277900926744763,0.004576667027411663,-1.1491016898013129e-05
1960-02-01,0.010374300285299842,-0.003025720916537189,-0.003016593539425738,0.006482987848341004,-0.003294895896852612,0.0,-0.011808096606909402,0.0027220147107493986,0.004405293467916405,0.0033277900926744763,-2.085049155065022e-05,-0.0033840979842403307
1960-03-01,0.010267778324138277,0.009022617599637073,0.011976191046715545,-0.003241493924170502,0.009820046180975428,0.0,-0.0058394202066685,-0.0013610073553746993,-0.004405293467916405,-0.0033389012655149486,-2.0661370470076434e-05,0.0
1960-04-01,0.030185531951325117,-0.009022617599637073,-0.011976191046715545,-0.003241493924170502,-0.0065680107945977895,0.0,-8.549675754476738e-06,0.004410524537330041,0.0021953905634357618,0.0033389012655149486,-2.0474810864090642e-05,0.0
1960-05-01,-0.027916450301409323,0.0,0.0,0.003241493924170502,-0.0032520353863776386,0.0,0.0029282597790887266,-0.0033954677761780516,-4.80918361711602e-06,-0.003350086885281822,-0.0045146803545268455,0.0
1960-06-01,-0.004540430697498987,0.0,0.0,0.003241493924170502,-0.013072081567353067,0.0,0.0029282597790887266,0.0003367514879624167,-0.0021905813798186458,0.003350086885281822,0.0,0.0
1960-07-01,0.024719637465288713,0.00298953884836628,0.002971770389157413,-0.006482987848341004,0.013072081567353067,0.0,-0.0029282597790887266,-0.0033802065105073,0.0021857932199798036,0.0,0.004494389587839098,0.003372684478639254
1960-08-01,-0.007800420079248305,-0.00597907769673256,-0.005943540778314826,0.003241493924170502,-0.01993421490081726,0.0,0.0,0.004056796522785788,-0.0021857932199798036,0.0,-0.004494389587839098,-0.003372684478639254
1960-09-01,0.0,0.00298953884836628,0.005943540778314826,0.0,0.02662320305161403,0.0,0.0,-0.002028398261392894,0.002181025946360382,-0.006734032181344052,0.0044742803949211485,0.0
1960-10-01,0.005576718240810852,0.008941937375661624,0.005890916868688034,0.0,-4.4445432128448203e-05,0.0,0.00291971010333425,0.004716989878138733,-4.746523764698196e-06,0.006734032181344052,-0.0044742803949211485,0.0
1960-11-01,-0.01569443378370039,-0.008941937375661624,-0.008862687257845447,-0.0032520353863776386,-0.006644542718668323,0.0,-0.029509164292573775,-0.0037090946139146652,-0.004352558845191368,0.0,0.004454350349380132,0.0
1960-12-01,0.006758407836730207,-0.002971770389157413,-0.005899722127188589,0.0032520353863776386,0.0033057881344995543,0.0,0.014541115673065264,-1.0148301070600496e-06,0.002176279422595684,0.003372684478639254,-1.975328151404554e-05,0.0033613477027047978
1961-01-01,0.008938854629242599,0.002971770389157413,0.005899722127188589,-0.0032626456348161526,-1.0892237646942249e-05,0.0,-0.009391992721694997,-1.0127885365918132e-06,0.002176279422595684,-0.003372684478639254,-0.004434597067866086,-0.0033613477027047978
1961-02-01,0.040330136146986995,0.002971770389157413,0.005899722127188589,0.006525291269632305,-1.0820695662605573e-05,0.0,0.02144033123786926,-0.001005867645580416,-0.002176279422595684,0.0033613477027047978,0.004415018209116717,0.003350086885281822
